embedding,clustering,k,alpha,mean,std
e5,hac,8,0.75,0.1864,0.0509063489521333
e5,hac,9,0.25,0.1272,0.03341320430940771
e5,hac,9,0.5,0.14937,0.052376692229357986
e5,hac,9,0.75,0.17570999999999998,0.04073198170152458
e5,hac,10,0.25,0.1667,
e5,hac,10,0.5,0.1667,
e5,hac,10,0.75,0.1789,
e5,hdbscan,2,0.25,0.46790952380952383,0.18141778828097843
e5,hdbscan,2,0.5,0.46790952380952383,0.18141778828097843
e5,hdbscan,2,0.75,0.46790952380952383,0.18141778828097843
e5,hdbscan,3,0.25,0.2753488888888889,0.09298995210192976
e5,hdbscan,3,0.5,0.2804888888888889,0.08808226842049999
e5,hdbscan,3,0.75,0.2804888888888889,0.08808226842049999
e5,hdbscan,4,0.25,0.26614444444444446,0.04974389688974696
e5,hdbscan,4,0.5,0.27308888888888894,0.05683012943070877
e5,hdbscan,4,0.75,0.27355555555555555,0.05642570582436499
e5,hdbscan,5,0.25,0.20475833333333335,0.021645240799662232
e5,hdbscan,5,0.5,0.23910833333333334,0.0176316887811509
e5,hdbscan,5,0.75,0.24189166666666664,0.015944957405608425
e5,hdbscan,6,0.25,0.208225,0.019193071666619693
e5,hdbscan,6,0.5,0.20829375,0.019259092008711107
e5,hdbscan,6,0.75,0.20829375,0.019259092008711107
e5,hdbscan,7,0.25,0.1868,0.0033279122584587537
e5,hdbscan,7,0.5,0.19636,0.001984439467456746
e5,hdbscan,7,0.75,0.19636,0.001984439467456746
e5,kmeans,2,0.25,0.5320466666666667,0.1812719950290673
e5,kmeans,2,0.5,0.5344066666666667,0.1804804527315405
e5,kmeans,2,0.75,0.54176,0.17619021281248598
e5,kmeans,3,0.25,0.3765458333333333,0.15439168017371516
e5,kmeans,3,0.5,0.38491083333333337,0.15497324181926372
e5,kmeans,3,0.75,0.3853775,0.15554068800140228
e5,kmeans,4,0.25,0.29487857142857143,0.1219660305200601
e5,kmeans,4,0.5,0.3118533333333333,0.12229952999371096
e5,kmeans,4,0.75,0.3170133333333333,0.12287157029955621
e5,kmeans,5,0.25,0.2515555555555556,0.10692965148834636
e5,kmeans,5,0.5,0.26842222222222223,0.10879356553864648
e5,kmeans,5,0.75,0.27096706349206345,0.10816036744650642
e5,kmeans,6,0.25,0.21711238095238097,0.08372746251947374
e5,kmeans,6,0.5,0.23542142857142856,0.08933023549742816
e5,kmeans,6,0.75,0.24241190476190477,0.08721918054926148
e5,kmeans,7,0.25,0.19149500000000003,0.07740196928205052
e5,kmeans,7,0.5,0.2161391666666667,0.07001049176575545
e5,kmeans,7,0.75,0.21991083333333333,0.07024542426060093
e5,kmeans,8,0.25,0.17040444444444444,0.05923058161102082
e5,kmeans,8,0.5,0.1896311111111111,0.059308158346593816
e5,kmeans,8,0.75,0.20054888888888886,0.05723943976530924
e5,kmeans,9,0.25,0.15979000000000002,0.030140944835150008
e5,kmeans,9,0.5,0.18377,0.04311403612643
e5,kmeans,9,0.75,0.19805,0.049431012532619646
e5,kmeans,10,0.25,0.1751,
e5,kmeans,10,0.5,0.1751,
e5,kmeans,10,0.75,0.1896,
e5,spectral,2,0.25,0.5220622222222222,0.17562052878668008
e5,spectral,2,0.5,0.5286155555555556,0.1722765350396058
e5,spectral,2,0.75,0.5473822222222222,0.16013640107575466
e5,spectral,3,0.25,0.3750925,0.1637102934924318
e5,spectral,3,0.5,0.3846908333333333,0.1632824381896242
e5,spectral,3,0.75,0.39382,0.16148644587605698
e5,spectral,4,0.25,0.3142061904761905,0.13368201293930387
e5,spectral,4,0.5,0.3296842857142857,0.1323041851468883
e5,spectral,4,0.75,0.3321204761904762,0.13393507321494522
e5,spectral,5,0.25,0.26437460317460315,0.1045838975337402
e5,spectral,5,0.5,0.27653769841269843,0.11207252475180236
