embedding,clustering,k,alpha,mean,std
instructor,kmeans,2,0.5,0.41983333333333334,0.07848212110623241
instructor,kmeans,2,0.75,0.41983333333333334,0.07848212110623241
instructor,kmeans,3,0.25,0.2555,
instructor,kmeans,3,0.5,0.2555,
instructor,kmeans,3,0.75,0.265,
instructor,spectral,2,0.25,0.4810666666666667,0.025468673568392487
instructor,spectral,2,0.5,0.4810666666666667,0.025468673568392487
instructor,spectral,2,0.75,0.4810666666666667,0.025468673568392487
instructor,spectral,3,0.25,0.3,
instructor,spectral,3,0.5,0.2998,
instructor,spectral,3,0.75,0.3003,
minilm,dbscan,2,0.25,0.2342,0.3070257643911989
minilm,dbscan,2,0.5,0.2342,0.3070257643911989
minilm,dbscan,2,0.75,0.2342,0.3070257643911989
minilm,dbscan,3,0.25,0.3004,
minilm,dbscan,3,0.5,0.3004,
minilm,dbscan,3,0.75,0.3004,
minilm,hac,2,0.25,0.3743666666666667,0.055803613980936195
minilm,hac,2,0.5,0.3743666666666667,0.055803613980936195
minilm,hac,2,0.75,0.39640000000000003,0.07814198615341181
minilm,hac,3,0.25,0.22,
minilm,hac,3,0.5,0.22,
minilm,hac,3,0.75,0.2008,
minilm,hdbscan,2,0.25,0.4549,
minilm,hdbscan,2,0.5,0.4549,
minilm,hdbscan,2,0.75,0.4549,
minilm,kmeans,2,0.25,0.34923333333333334,0.05911491633533224
minilm,kmeans,2,0.5,0.34923333333333334,0.05911491633533224
minilm,kmeans,2,0.75,0.34923333333333334,0.05911491633533224
minilm,kmeans,3,0.25,0.2204,
minilm,kmeans,3,0.5,0.2446,
minilm,kmeans,3,0.75,0.2446,
minilm,spectral,2,0.25,0.4458666666666667,0.05567964918471856
minilm,spectral,2,0.5,0.4458666666666667,0.05567964918471856
minilm,spectral,2,0.75,0.4458666666666667,0.05567964918471856
minilm,spectral,3,0.25,0.2997,
minilm,spectral,3,0.5,0.2997,
minilm,spectral,3,0.75,0.2997,
mpnet,dbscan,2,0.25,0.0247,
mpnet,dbscan,2,0.5,0.0247,
mpnet,dbscan,2,0.75,0.0247,
mpnet,hac,2,0.25,0.3578333333333333,0.09334079136869007
mpnet,hac,2,0.5,0.3578333333333333,0.09334079136869007
mpnet,hac,2,0.75,0.4068,0.02436862737209462
mpnet,hac,3,0.25,0.1852,
mpnet,hac,3,0.5,0.1852,
mpnet,hac,3,0.75,0.3097,
mpnet,hdbscan,2,0.25,0.4458,
mpnet,hdbscan,2,0.5,0.4458,
mpnet,hdbscan,2,0.75,0.4458,
mpnet,kmeans,2,0.25,0.3416333333333333,0.05115860957193161
mpnet,kmeans,2,0.5,0.3416333333333333,0.05115860957193161
mpnet,kmeans,2,0.75,0.3416333333333333,0.05115860957193161
mpnet,kmeans,3,0.25,0.2449,
mpnet,kmeans,3,0.5,0.2449,
mpnet,kmeans,3,0.75,0.2449,
mpnet,spectral,2,0.25,0.4461333333333333,0.05560704391831429
mpnet,spectral,2,0.5,0.4461333333333333,0.05560704391831429
mpnet,spectral,2,0.75,0.4461333333333333,0.05560704391831429
mpnet,spectral,3,0.25,0.3003,
mpnet,spectral,3,0.5,0.3003,
mpnet,spectral,3,0.75,0.3003,
sbert,dbscan,2,0.25,0.3915666666666667,0.20328089761050674
sbert,dbscan,2,0.5,0.3915666666666667,0.20328089761050674
sbert,dbscan,2,0.75,0.3915666666666667,0.20328089761050674
sbert,hac,2,0.25,0.3666666666666667,0.08213466584416922
sbert,hac,2,0.5,0.3666666666666667,0.08213466584416922
sbert,hac,2,0.75,0.3666666666666667,0.08213466584416922
sbert,hac,3,0.25,0.2538,
sbert,hac,3,0.5,0.2538,
sbert,hac,3,0.75,0.2538,
sbert,kmeans,2,0.25,0.4295333333333334,0.07571541014439093
sbert,kmeans,2,0.5,0.42960000000000004,0.07574615501792815
sbert,kmeans,2,0.75,0.42960000000000004,0.07574615501792815
sbert,kmeans,3,0.25,0.2446,
sbert,kmeans,3,0.5,0.2446,
sbert,kmeans,3,0.75,0.2446,
sbert,spectral,2,0.25,0.34946666666666665,0.17781342281541437
sbert,spectral,2,0.5,0.34946666666666665,0.17781342281541437
sbert,spectral,2,0.75,0.34946666666666665,0.17781342281541437
sbert,spectral,3,0.25,0.1009,
sbert,spectral,3,0.5,0.1009,
sbert,spectral,3,0.75,0.1009,
sroberta,dbscan,2,0.25,0.0171,
sroberta,dbscan,2,0.5,0.0171,
sroberta,dbscan,2,0.75,0.0171,
sroberta,hac,2,0.25,0.4067333333333334,0.04656332605531238
sroberta,hac,2,0.5,0.4067333333333334,0.04656332605531238
sroberta,hac,2,0.75,0.4067333333333334,0.04656332605531238
sroberta,hac,3,0.25,0.265,
sroberta,hac,3,0.5,0.265,
sroberta,hac,3,0.75,0.265,
sroberta,hdbscan,2,0.25,0.4473,
sroberta,hdbscan,2,0.5,0.4473,
sroberta,hdbscan,2,0.75,0.4473,
sroberta,kmeans,2,0.25,0.373,0.12441659857109096
sroberta,kmeans,2,0.5,0.373,0.12441659857109096
sroberta,kmeans,2,0.75,0.3242,0.05037588708896352
sroberta,kmeans,3,0.25,0.232,
sroberta,kmeans,3,0.5,0.232,
sroberta,kmeans,3,0.75,0.2101,
sroberta,spectral,2,0.25,0.44789999999999996,0.05198345890761794
sroberta,spectral,2,0.5,0.44789999999999996,0.05198345890761794
sroberta,spectral,2,0.75,0.44789999999999996,0.05198345890761794
sroberta,spectral,3,0.25,0.2996,
sroberta,spectral,3,0.5,0.2996,
sroberta,spectral,3,0.75,0.2996,
w2v_pretrained,dbscan,2,0.25,0.0464,
w2v_pretrained,dbscan,2,0.5,0.0464,
w2v_pretrained,dbscan,2,0.75,0.0464,
w2v_pretrained,hac,2,0.25,0.40873333333333334,0.10293771579617128
w2v_pretrained,hac,2,0.5,0.4277333333333333,0.07931439549875756
w2v_pretrained,hac,2,0.75,0.4277333333333333,0.07931439549875756
w2v_pretrained,hac,3,0.25,0.1976,
w2v_pretrained,hac,3,0.5,0.3133,
w2v_pretrained,hac,3,0.75,0.3133,
w2v_pretrained,kmeans,2,0.25,0.38756666666666667,0.10804028569627781
w2v_pretrained,kmeans,2,0.5,0.40723333333333334,0.09128692860061255
w2v_pretrained,kmeans,2,0.75,0.40723333333333334,0.09128692860061255
w2v_pretrained,kmeans,3,0.25,0.294,
w2v_pretrained,kmeans,3,0.5,0.294,
w2v_pretrained,kmeans,3,0.75,0.294,
w2v_pretrained,spectral,2,0.25,0.30516666666666664,0.17603014893288402
w2v_pretrained,spectral,2,0.5,0.3506,0.17771266133846514
w2v_pretrained,spectral,2,0.75,0.4499333333333333,0.048864336006266745
w2v_pretrained,spectral,3,0.25,0.1022,
w2v_pretrained,spectral,3,0.5,0.1022,
w2v_pretrained,spectral,3,0.75,0.2997,
w2v_self,dbscan,2,0.25,0.0818,0.102813325984524
w2v_self,dbscan,2,0.5,0.0818,0.102813325984524
w2v_self,dbscan,2,0.75,0.3264,0.24310331137193505
w2v_self,hac,2,0.25,0.34109999999999996,0.18100406072792954
w2v_self,hac,2,0.5,0.34109999999999996,0.18100406072792954
w2v_self,hac,2,0.75,0.34109999999999996,0.18100406072792954
w2v_self,hac,3,0.25,0.2375,
w2v_self,hac,3,0.5,0.2375,
w2v_self,hac,3,0.75,0.2375,
w2v_self,hdbscan,2,0.25,0.0198,
w2v_self,hdbscan,2,0.5,0.0198,
w2v_self,hdbscan,2,0.75,0.0198,
w2v_self,kmeans,2,0.25,0.3656,0.1531535503995908
w2v_self,kmeans,2,0.5,0.3656,0.1531535503995908
w2v_self,kmeans,2,0.75,0.3656,0.1531535503995908
w2v_self,kmeans,3,0.25,0.3057,
w2v_self,kmeans,3,0.5,0.3057,
w2v_self,kmeans,3,0.75,0.2977,
w2v_self,spectral,2,0.25,0.12639999999999998,0.10714401523183643
w2v_self,spectral,2,0.5,0.12639999999999998,0.10714401523183643
w2v_self,spectral,2,0.75,0.2895666666666667,0.18327281122232325
w2v_self,spectral,3,0.25,0.2295,
w2v_self,spectral,3,0.5,0.2295,
w2v_self,spectral,3,0.75,0.2295,
