k,method,rank,mean_f1
7,gte,16,0.17957083333333335
7,sroberta,17,0.1759975
7,bge,18,0.17172083333333335
7,instructor,19,0.16745083333333335
7,sroberta,20,0.16324166666666665
7,instructor,21,0.16124666666666665
7,sroberta,22,0.16101875
7,bge,23,0.15989416666666667
7,e5,24,0.1542491666666667
7,gte,25,0.15395806451612903
7,e5,26,0.1444275
7,minilm,27,0.14287931034482756
7,instructor,28,0.1408616666666667
7,e5,29,0.13694166666666666
7,w2v_pretrained,30,0.13587666666666667
7,w2v_self,31,0.13010583333333334
7,w2v_pretrained,32,0.128085
7,fasttext_pretrained,33,0.12716333333333335
7,fasttext_pretrained,34,0.12697083333333334
7,bge,35,0.12547916666666667
7,e5,36,0.12541166666666667
7,w2v_self,37,0.12474416666666667
7,w2v_pretrained,38,0.124315
7,w2v_self,39,0.12309916666666668
7,fasttext_pretrained,40,0.11094666666666667
7,gte,41,0.09587333333333332
7,glove_pretrained,42,0.09338583333333333
7,glove_pretrained,43,0.08573666666666666
7,instructor,44,0.0832
7,glove_pretrained,45,0.07436666666666666
7,w2v_self,46,0.0742530612244898
7,glove_pretrained,47,0.073
7,sbert,48,0.06768571428571428
7,e5,49,0.06576
7,w2v_pretrained,50,0.06234615384615384
7,instructor,51,0.05472023809523809
8,logistic_regression,1,0.4441
8,minilm,2,0.244275
8,minilm,3,0.2207977777777778
8,minilm,4,0.2194911111111111
8,sroberta,5,0.20916666666666667
8,mpnet,6,0.20208666666666666
8,minilm,7,0.20064
8,sbert,8,0.19899333333333336
8,mpnet,9,0.18464444444444447
8,mpnet,10,0.1838822222222222
8,sbert,11,0.1805466666666667
8,gte,12,0.17903555555555556
8,sbert,13,0.17668444444444445
8,gte,14,0.17526666666666665
8,gte,15,0.1682488888888889
8,bge,16,0.1614911111111111
8,sroberta,17,0.15610888888888888
8,sroberta,18,0.15029333333333333
8,instructor,19,0.14522000000000002
8,bge,20,0.14279333333333333
8,e5,21,0.13692
8,instructor,22,0.13421111111111111
8,e5,23,0.13281555555555555
8,instructor,24,0.13013333333333332
8,gte,25,0.12516
8,e5,26,0.12504
8,fasttext_pretrained,27,0.12088222222222222
8,fasttext_pretrained,28,0.11830666666666667
8,w2v_self,29,0.11685111111111111
8,w2v_pretrained,30,0.11578444444444445
8,bge,31,0.11494222222222221
8,w2v_self,32,0.11093555555555555
8,w2v_self,33,0.10917777777777779
8,w2v_pretrained,34,0.10791333333333332
8,fasttext_pretrained,35,0.10076
8,e5,36,0.10015111111111111
8,w2v_pretrained,37,0.08598222222222222
8,glove_pretrained,38,0.0754
8,glove_pretrained,39,0.06690444444444445
8,sroberta,40,0.06455333333333332
8,glove_pretrained,41,0.0643
8,w2v_self,42,0.05708571428571429
8,instructor,43,0.0538
8,w2v_pretrained,44,0.0527
8,glove_pretrained,45,0.039341666666666664
9,minilm,1,0.22426
9,sroberta,2,0.20307
9,mpnet,3,0.19614
9,minilm,4,0.19527999999999998
9,sbert,5,0.19212
9,minilm,6,0.18936
9,mpnet,7,0.18016
9,sbert,8,0.17870999999999998
9,gte,9,0.17189000000000002
9,sbert,10,0.16595
9,mpnet,11,0.16524
9,gte,12,0.15853
9,instructor,13,0.15009
9,gte,14,0.14948
9,sroberta,15,0.14285
9,bge,16,0.14282999999999998
9,sroberta,17,0.14229
9,instructor,18,0.13694
9,instructor,19,0.12824
9,bge,20,0.12517
9,w2v_self,21,0.12086000000000001
9,w2v_self,22,0.11559
9,w2v_pretrained,23,0.11368
9,fasttext_pretrained,24,0.11274999999999999
9,e5,25,0.11268
9,bge,26,0.10903
9,e5,27,0.09973
9,fasttext_pretrained,28,0.0921
9,w2v_self,29,0.09198
9,w2v_pretrained,30,0.09051000000000001
9,e5,31,0.08799
9,w2v_pretrained,32,0.08370999999999999
9,fasttext_pretrained,33,0.07425999999999999
9,instructor,34,0.0667
9,glove_pretrained,35,0.06132
9,glove_pretrained,36,0.05948
9,glove_pretrained,37,0.04947
9,w2v_pretrained,38,0.034475000000000006
10,minilm,1,0.2641
10,mpnet,2,0.2082
10,minilm,3,0.1953
10,bge,4,0.186
10,sbert,5,0.173
10,sroberta,6,0.17
10,sroberta,7,0.167
10,minilm,8,0.1632
10,sroberta,9,0.1557
10,sbert,10,0.1488
10,mpnet,11,0.1459
10,instructor,12,0.1423
10,instructor,13,0.1412
10,gte,14,0.1341
10,mpnet,15,0.1336
10,bge,16,0.1305
10,gte,17,0.1302
10,fasttext_pretrained,18,0.1225
10,gte,19,0.1195
10,e5,20,0.1176
10,instructor,21,0.1175
10,fasttext_pretrained,22,0.1119
10,bge,23,0.1085
10,w2v_pretrained,24,0.108
10,w2v_self,25,0.1005
10,e5,26,0.0996
10,w2v_pretrained,27,0.0991
10,sbert,28,0.0973
10,w2v_self,29,0.0906
10,fasttext_pretrained,30,0.0841
10,w2v_pretrained,31,0.0768
10,w2v_self,32,0.0698
10,bge,33,0.0662
10,glove_pretrained,34,0.055
10,e5,35,0.0532
10,glove_pretrained,36,0.0448
10,glove_pretrained,37,0.0311
10,w2v_pretrained,38,0.0175
