embedding,clustering,k,mean,std
instructor,hdbscan,4,0.20075123456790125,0.053503537048752645
instructor,hdbscan,5,0.19499999999999998,0.06983621498246395
instructor,hdbscan,6,0.130325974025974,0.03147071906674939
instructor,hdbscan,7,0.127255,0.031735576500033426
instructor,hdbscan,8,0.1388,0.02714295488704205
instructor,hdbscan,9,0.08697142857142857,0.007953346106244489
instructor,kmeans,2,0.6855757575757575,0.20859468542577683
instructor,kmeans,3,0.47616227272727274,0.1630031492099014
instructor,kmeans,4,0.3831145454545455,0.131388355149812
instructor,kmeans,5,0.3185532828282828,0.10726392731477555
instructor,kmeans,6,0.27749025974025976,0.09415646214314094
instructor,kmeans,7,0.24725025252525254,0.08288807358902116
instructor,kmeans,8,0.22169636363636364,0.0713060838784891
instructor,kmeans,9,0.20315272727272726,0.056662416508500735
instructor,kmeans,10,0.18673333333333333,0.049763868058085726
instructor,kmeans,11,0.16489166666666666,0.04009251706044936
instructor,kmeans,12,0.1463,
instructor,spectral,2,0.6881818181818182,0.20970966736755975
instructor,spectral,3,0.4841536363636364,0.17572361636230652
instructor,spectral,4,0.3606884848484848,0.13839051712998754
instructor,spectral,5,0.29350896464646464,0.12424183691856337
instructor,spectral,6,0.24426883116883116,0.1123105992627501
instructor,spectral,7,0.20589015151515153,0.09515715076424851
instructor,spectral,8,0.16663818181818182,0.08718706131448137
instructor,spectral,9,0.14581954545454545,0.07672299001042306
instructor,spectral,10,0.14896060606060607,0.0550251463599574
instructor,spectral,11,0.134425,0.04506147568499162
instructor,spectral,12,0.1109,
logistic_regression,supervised,2,0.8268772727272727,0.08389032729692987
logistic_regression,supervised,3,0.7655968181818181,0.07346190413876307
logistic_regression,supervised,4,0.7193240404040404,0.06297273852554987
logistic_regression,supervised,5,0.682302398989899,0.05556833409447594
logistic_regression,supervised,6,0.6541953463203463,0.050414185801211986
logistic_regression,supervised,7,0.6345916666666667,0.047864648042555
logistic_regression,supervised,8,0.6201115151515151,0.043949341567512526
logistic_regression,supervised,9,0.6113513636363637,0.03903264466738296
logistic_regression,supervised,10,0.5977469696969696,0.033524765677822616
logistic_regression,supervised,11,0.5927666666666667,0.02686181247974472
logistic_regression,supervised,12,0.5731,
minilm,dbscan,2,0.5096973684210526,0.1752859169916121
minilm,dbscan,3,0.33502764227642273,0.12653103377563155
minilm,dbscan,4,0.20890677290836654,0.1053156200852667
minilm,dbscan,5,0.14085706666666667,0.08291949608472513
minilm,dbscan,6,0.15081498470948013,0.0538589471287051
