k,class_subset,embedding,clustering,precision,recall,f1,alpha
2,"[2, 4]",sroberta,spectral,0.8017,0.81,0.8044,
2,"[2, 4]",sroberta,dbscan,0.7009,0.505,0.2966,
2,"[2, 4]",sroberta,hdbscan,0.6387,0.6433,0.6391,
2,"[3, 4]",sroberta,kmeans,0.7072,0.7461,0.6988,
2,"[3, 4]",sroberta,hac,0.6339,0.654,0.5891,
2,"[3, 4]",sroberta,spectral,0.6716,0.6851,0.6764,
2,"[3, 4]",sroberta,dbscan,0.6508,0.5017,0.2351,
2,"[3, 4]",sroberta,hdbscan,0.6089,0.595,0.5989,
3,"[0, 1, 2]",sroberta,kmeans,0.7372,0.7292,0.7314,
3,"[0, 1, 2]",sroberta,hac,0.7323,0.68,0.6895,
3,"[0, 1, 2]",sroberta,spectral,0.5691,0.5472,0.4639,
3,"[0, 1, 2]",sroberta,dbscan,0.7242,0.3391,0.1924,
3,"[0, 1, 3]",sroberta,kmeans,0.7302,0.718,0.7098,
3,"[0, 1, 3]",sroberta,hac,0.7182,0.6938,0.6814,
3,"[0, 1, 3]",sroberta,spectral,0.6302,0.6302,0.6196,
3,"[0, 1, 4]",sroberta,kmeans,0.7829,0.7978,0.7774,
3,"[0, 1, 4]",sroberta,hac,0.6554,0.6431,0.6335,
3,"[0, 1, 4]",sroberta,spectral,0.8049,0.7675,0.7685,
3,"[0, 2, 3]",sroberta,kmeans,0.5272,0.5139,0.5188,
3,"[0, 2, 3]",sroberta,hac,0.5259,0.5115,0.5144,
3,"[0, 2, 3]",sroberta,spectral,0.4982,0.4971,0.4928,
3,"[0, 2, 4]",sroberta,kmeans,0.7349,0.7329,0.7287,
3,"[0, 2, 4]",sroberta,hac,0.6579,0.6542,0.653,
3,"[0, 2, 4]",sroberta,spectral,0.71,0.7109,0.7088,
3,"[0, 3, 4]",sroberta,kmeans,0.7045,0.6989,0.6871,
3,"[0, 3, 4]",sroberta,hac,0.6422,0.6289,0.6056,
3,"[0, 3, 4]",sroberta,spectral,0.6333,0.6314,0.6321,
3,"[0, 3, 4]",sroberta,hdbscan,0.3559,0.3267,0.266,
3,"[1, 2, 3]",sroberta,kmeans,0.4753,0.4998,0.4822,
3,"[1, 2, 3]",sroberta,hac,0.599,0.5327,0.5054,
3,"[1, 2, 3]",sroberta,spectral,0.5617,0.5643,0.4956,
3,"[1, 2, 4]",sroberta,kmeans,0.7445,0.7444,0.7378,
3,"[1, 2, 4]",sroberta,hac,0.7168,0.6229,0.6022,
3,"[1, 2, 4]",sroberta,spectral,0.5522,0.5135,0.4491,
3,"[1, 2, 4]",sroberta,dbscan,0.4444,0.3358,0.1377,
3,"[1, 3, 4]",sroberta,kmeans,0.6941,0.6951,0.678,
3,"[1, 3, 4]",sroberta,hac,0.6863,0.6286,0.6329,
3,"[1, 3, 4]",sroberta,spectral,0.6723,0.6473,0.6534,
3,"[1, 3, 4]",sroberta,dbscan,0.4233,0.3342,0.1449,
3,"[2, 3, 4]",sroberta,kmeans,0.5773,0.5496,0.54,
3,"[2, 3, 4]",sroberta,hac,0.5395,0.4307,0.4027,
3,"[2, 3, 4]",sroberta,spectral,0.6313,0.5513,0.4984,
3,"[2, 3, 4]",sroberta,hdbscan,0.6081,0.4167,0.3581,
4,"[0, 1, 2, 3]",sroberta,kmeans,0.5239,0.5272,0.5119,
4,"[0, 1, 2, 3]",sroberta,hac,0.5791,0.5039,0.4909,
4,"[0, 1, 2, 3]",sroberta,spectral,0.5267,0.5246,0.4802,
4,"[0, 1, 2, 4]",sroberta,kmeans,0.702,0.6943,0.6939,
4,"[0, 1, 2, 4]",sroberta,hac,0.5718,0.505,0.4651,
4,"[0, 1, 2, 4]",sroberta,spectral,0.5329,0.5075,0.4618,
4,"[0, 1, 3, 4]",sroberta,kmeans,0.6783,0.6628,0.6588,
4,"[0, 1, 3, 4]",sroberta,hac,0.6458,0.5908,0.6022,
4,"[0, 1, 3, 4]",sroberta,spectral,0.5836,0.5953,0.5624,
4,"[0, 2, 3, 4]",sroberta,kmeans,0.5516,0.5408,0.5447,
4,"[0, 2, 3, 4]",sroberta,hac,0.5414,0.5036,0.5023,
4,"[0, 2, 3, 4]",sroberta,spectral,0.5835,0.5412,0.505,
4,"[0, 2, 3, 4]",sroberta,dbscan,0.2878,0.2469,0.1049,
