k,class_subset,embedding,clustering,precision,recall,f1,alpha
2,"[1, 2]",minilm,kmeans,0.4903,0.3371,0.3869,
2,"[1, 2]",minilm,hac,0.4916,0.3758,0.4148,
2,"[1, 2]",minilm,spectral,0.4903,0.3379,0.3875,
2,"[1, 2]",minilm,dbscan,0.507,0.5016,0.0171,
2,"[1, 2]",minilm,hdbscan,0.5167,0.7461,0.4549,
3,"[0, 1, 2]",minilm,kmeans,0.329,0.4421,0.2204,
3,"[0, 1, 2]",minilm,hac,0.3364,0.2734,0.2734,
3,"[0, 1, 2]",minilm,spectral,0.2744,0.3301,0.2997,
3,"[0, 1, 2]",minilm,dbscan,0.2746,0.3316,0.3004,
2,"[0, 1]",e5,kmeans,0.4983,0.3601,0.362,
2,"[0, 1]",e5,hac,0.4995,0.4702,0.4418,
2,"[0, 1]",e5,spectral,0.4985,0.4983,0.4984,
2,"[0, 2]",e5,kmeans,0.5256,0.5439,0.4891,
2,"[0, 2]",e5,hac,0.5037,0.5065,0.4546,
2,"[0, 2]",e5,spectral,0.4131,0.4983,0.4517,
2,"[1, 2]",e5,kmeans,0.4902,0.3344,0.3848,
2,"[1, 2]",e5,hac,0.4906,0.3477,0.3948,
2,"[1, 2]",e5,spectral,0.4929,0.4935,0.4932,
3,"[0, 1, 2]",e5,kmeans,0.3397,0.2818,0.2677,
3,"[0, 1, 2]",e5,hac,0.3445,0.3393,0.2987,
3,"[0, 1, 2]",e5,spectral,0.2746,0.3313,0.3003,
2,"[0, 1]",instructor,kmeans,0.4981,0.3542,0.387,
2,"[0, 1]",instructor,hac,0.5002,0.5107,0.4442,
2,"[0, 1]",instructor,spectral,0.4985,0.4978,0.4982,
2,"[0, 2]",instructor,kmeans,0.5311,0.5513,0.5094,
2,"[0, 2]",instructor,hac,0.44,0.4138,0.4211,
2,"[0, 2]",instructor,spectral,0.4131,0.4986,0.4518,
2,"[1, 2]",instructor,kmeans,0.5129,0.7349,0.3631,
2,"[1, 2]",instructor,hac,0.4878,0.2835,0.3586,
2,"[1, 2]",instructor,spectral,0.4929,0.4935,0.4932,
2,"[1, 2]",instructor,dbscan,0.5071,0.5065,0.0269,
2,"[1, 2]",instructor,hdbscan,0.5154,0.736,0.4458,
3,"[0, 1, 2]",instructor,kmeans,0.3372,0.2515,0.2652,
3,"[0, 1, 2]",instructor,hac,0.3466,0.2771,0.2785,
3,"[0, 1, 2]",instructor,spectral,0.2744,0.3305,0.2999,
2,"[0, 1]",bge,kmeans,0.4983,0.3587,0.376,
2,"[0, 1]",bge,hac,0.4984,0.3685,0.3533,
2,"[0, 1]",bge,spectral,0.4985,0.4983,0.4984,
2,"[0, 1]",bge,dbscan,0.4985,0.4997,0.4991,
2,"[0, 2]",bge,kmeans,0.5235,0.5397,0.4928,
2,"[0, 2]",bge,hac,0.4448,0.4194,0.4251,
2,"[0, 2]",bge,spectral,0.4131,0.4983,0.4517,
2,"[0, 2]",bge,dbscan,0.4133,0.4997,0.4524,
2,"[1, 2]",bge,kmeans,0.49,0.3295,0.3811,
2,"[1, 2]",bge,hac,0.4902,0.3544,0.4114,
2,"[1, 2]",bge,spectral,0.4929,0.4935,0.4932,
2,"[1, 2]",bge,dbscan,0.4928,0.4872,0.49,
2,"[1, 2]",bge,hdbscan,0.5128,0.6502,0.4749,
3,"[0, 1, 2]",bge,kmeans,0.3387,0.2657,0.2728,
3,"[0, 1, 2]",bge,hac,0.3119,0.2622,0.2469,
3,"[0, 1, 2]",bge,spectral,0.2745,0.3305,0.2999,
2,"[0, 1]",gte,kmeans,0.4982,0.3572,0.3748,
2,"[0, 1]",gte,hac,0.4979,0.3327,0.385,
2,"[0, 1]",gte,spectral,0.4985,0.4976,0.4981,
2,"[0, 2]",gte,kmeans,0.5256,0.5434,0.4946,
2,"[0, 2]",gte,hac,0.5777,0.6352,0.5167,
2,"[0, 2]",gte,spectral,0.413,0.4976,0.4513,
2,"[1, 2]",gte,kmeans,0.4904,0.3404,0.3893,
2,"[1, 2]",gte,hac,0.4895,0.3304,0.3945,
2,"[1, 2]",gte,spectral,0.4892,0.3217,0.3882,
3,"[0, 1, 2]",gte,kmeans,0.3361,0.2615,0.2654,
3,"[0, 1, 2]",gte,hac,0.4049,0.351,0.3264,
3,"[0, 1, 2]",gte,spectral,0.2744,0.3301,0.2997,
2,"[0, 1]",w2v_self,kmeans,0.5027,0.7263,0.352,
2,"[0, 1]",w2v_self,hac,0.5028,0.7347,0.3425,
2,"[0, 1]",w2v_self,spectral,0.4985,0.4973,0.4979,
2,"[0, 1]",w2v_self,dbscan,0.4985,0.4982,0.4983,
2,"[0, 2]",w2v_self,kmeans,0.5836,0.6455,0.5251,
2,"[0, 2]",w2v_self,hac,0.5836,0.6452,0.5214,
2,"[0, 2]",w2v_self,spectral,0.413,0.4975,0.4513,
2,"[0, 2]",w2v_self,dbscan,0.413,0.4982,0.4516,
2,"[1, 2]",w2v_self,kmeans,0.5065,0.5889,0.2197,
2,"[1, 2]",w2v_self,hac,0.4916,0.4166,0.451,
2,"[1, 2]",w2v_self,spectral,0.5064,0.5872,0.2176,
2,"[1, 2]",w2v_self,hdbscan,0.4987,0.4958,0.4935,
3,"[0, 1, 2]",w2v_self,kmeans,0.284,0.3802,0.1745,
3,"[0, 1, 2]",w2v_self,hac,0.2931,0.3956,0.1964,
3,"[0, 1, 2]",w2v_self,spectral,0.3052,0.4883,0.2295,
2,"[0, 1]",w2v_pretrained,kmeans,0.4975,0.2869,0.3318,
2,"[0, 1]",w2v_pretrained,hac,0.5014,0.6071,0.3936,
2,"[0, 1]",w2v_pretrained,spectral,0.4985,0.4976,0.4981,
2,"[0, 2]",w2v_pretrained,kmeans,0.5778,0.6348,0.5112,
2,"[0, 2]",w2v_pretrained,hac,0.5651,0.6135,0.5184,
2,"[0, 2]",w2v_pretrained,spectral,0.4129,0.4975,0.4513,
2,"[1, 2]",w2v_pretrained,kmeans,0.4894,0.3156,0.3703,
2,"[1, 2]",w2v_pretrained,hac,0.4946,0.4044,0.3712,
2,"[1, 2]",w2v_pretrained,spectral,0.4897,0.3386,0.4004,
2,"[1, 2]",w2v_pretrained,dbscan,0.5072,0.5166,0.0464,
3,"[0, 1, 2]",w2v_pretrained,kmeans,0.3745,0.2934,0.282,
3,"[0, 1, 2]",w2v_pretrained,hac,0.3867,0.3921,0.3133,
3,"[0, 1, 2]",w2v_pretrained,spectral,0.2744,0.3301,0.2997,
2,"[0, 1]",fasttext_pretrained,kmeans,0.4984,0.4038,0.4346,
2,"[0, 1]",fasttext_pretrained,hac,0.4984,0.4624,0.4797,
2,"[0, 1]",fasttext_pretrained,spectral,0.4985,0.4958,0.4971,
2,"[0, 2]",fasttext_pretrained,kmeans,0.4101,0.3937,0.4014,
2,"[0, 2]",fasttext_pretrained,hac,0.4108,0.4608,0.4337,
2,"[0, 2]",fasttext_pretrained,spectral,0.4132,0.4991,0.4521,
2,"[1, 2]",fasttext_pretrained,kmeans,0.4878,0.2835,0.3586,
2,"[1, 2]",fasttext_pretrained,hac,0.4904,0.3615,0.4162,
2,"[1, 2]",fasttext_pretrained,spectral,0.4929,0.4907,0.4918,
2,"[1, 2]",fasttext_pretrained,hdbscan,0.5049,0.5813,0.2785,
3,"[0, 1, 2]",fasttext_pretrained,kmeans,0.3461,0.329,0.2909,
3,"[0, 1, 2]",fasttext_pretrained,hac,0.2716,0.3115,0.2902,
3,"[0, 1, 2]",fasttext_pretrained,spectral,0.2745,0.3311,0.3002,
3,"[0, 1, 2]",fasttext_pretrained,dbscan,0.2744,0.3301,0.2997,
2,"[0, 1]",glove_pretrained,kmeans,0.4981,0.3908,0.438,
2,"[0, 1]",glove_pretrained,hac,0.4988,0.4554,0.466,
2,"[0, 1]",glove_pretrained,spectral,0.4985,0.4976,0.4981,
2,"[0, 1]",glove_pretrained,dbscan,0.4985,0.4976,0.4981,
2,"[0, 2]",glove_pretrained,kmeans,0.4213,0.4128,0.4169,
2,"[0, 2]",glove_pretrained,hac,0.4163,0.4713,0.4403,
2,"[0, 2]",glove_pretrained,spectral,0.4129,0.4975,0.4513,
2,"[0, 2]",glove_pretrained,dbscan,0.413,0.4976,0.4513,
2,"[1, 2]",glove_pretrained,kmeans,0.4897,0.3224,0.3756,
2,"[1, 2]",glove_pretrained,hac,0.4944,0.3985,0.3509,
2,"[1, 2]",glove_pretrained,spectral,0.4929,0.4894,0.4911,
2,"[1, 2]",glove_pretrained,hdbscan,0.5058,0.6036,0.3749,
3,"[0, 1, 2]",glove_pretrained,kmeans,0.3586,0.3395,0.299,
3,"[0, 1, 2]",glove_pretrained,hac,0.3685,0.3625,0.3395,
3,"[0, 1, 2]",glove_pretrained,spectral,0.2745,0.3311,0.3002,
