k,class_subset,embedding,clustering,precision,recall,f1,alpha
3,"[0, 1, 2]",e5,kmeans,0.3397,0.2818,0.2677,
3,"[0, 1, 2]",e5,hac,0.3445,0.3393,0.2987,
3,"[0, 1, 2]",e5,spectral,0.2746,0.3313,0.3003,
2,"[0, 1]",instructor,kmeans,0.4981,0.3542,0.387,
2,"[0, 1]",instructor,hac,0.5002,0.5107,0.4442,
2,"[0, 1]",instructor,spectral,0.4985,0.4978,0.4982,
2,"[0, 2]",instructor,kmeans,0.5311,0.5513,0.5094,
2,"[0, 2]",instructor,hac,0.56,0.5862,0.4042,
2,"[0, 2]",instructor,spectral,0.4131,0.4986,0.4518,
2,"[1, 2]",instructor,kmeans,0.5129,0.7349,0.3631,
2,"[1, 2]",instructor,hac,0.4878,0.2835,0.3586,
2,"[1, 2]",instructor,spectral,0.4929,0.4935,0.4932,
2,"[1, 2]",instructor,dbscan,0.5071,0.5065,0.0269,
2,"[1, 2]",instructor,hdbscan,0.5154,0.736,0.4458,
3,"[0, 1, 2]",instructor,kmeans,0.3675,0.2921,0.2555,
3,"[0, 1, 2]",instructor,hac,0.3769,0.4038,0.2446,
3,"[0, 1, 2]",instructor,spectral,0.2744,0.3305,0.2999,
2,"[0, 1]",bge,kmeans,0.5017,0.6413,0.2889,
2,"[0, 1]",bge,hac,0.5016,0.6315,0.3171,
2,"[0, 1]",bge,spectral,0.4985,0.4983,0.4984,
2,"[0, 1]",bge,dbscan,0.4985,0.4997,0.4991,
2,"[0, 2]",bge,kmeans,0.4765,0.4603,0.3851,
2,"[0, 2]",bge,hac,0.5552,0.5806,0.4049,
2,"[0, 2]",bge,spectral,0.4131,0.4983,0.4517,
2,"[0, 2]",bge,dbscan,0.4133,0.4997,0.4524,
2,"[1, 2]",bge,kmeans,0.49,0.3295,0.3811,
2,"[1, 2]",bge,hac,0.4902,0.3544,0.4114,
2,"[1, 2]",bge,spectral,0.4929,0.4935,0.4932,
2,"[1, 2]",bge,dbscan,0.4928,0.4872,0.49,
2,"[1, 2]",bge,hdbscan,0.5128,0.6502,0.4749,
3,"[0, 1, 2]",bge,kmeans,0.3687,0.5153,0.2353,
3,"[0, 1, 2]",bge,hac,0.3165,0.4662,0.2198,
3,"[0, 1, 2]",bge,spectral,0.2745,0.3305,0.2999,
2,"[0, 1]",gte,kmeans,0.4982,0.3572,0.3748,
2,"[0, 1]",gte,hac,0.4979,0.3327,0.385,
2,"[0, 1]",gte,spectral,0.4985,0.4976,0.4981,
2,"[0, 2]",gte,kmeans,0.4744,0.4566,0.3839,
2,"[0, 2]",gte,hac,0.5777,0.6352,0.5167,
2,"[0, 2]",gte,spectral,0.587,0.5024,0.153,
2,"[1, 2]",gte,kmeans,0.4904,0.3404,0.3893,
2,"[1, 2]",gte,hac,0.4895,0.3304,0.3945,
2,"[1, 2]",gte,spectral,0.4892,0.3217,0.3882,
3,"[0, 1, 2]",gte,kmeans,0.368,0.2901,0.2424,
3,"[0, 1, 2]",gte,hac,0.4049,0.351,0.3264,
3,"[0, 1, 2]",gte,spectral,0.3914,0.3349,0.1022,
2,"[0, 1]",w2v_self,kmeans,0.5027,0.7263,0.352,
2,"[0, 1]",w2v_self,hac,0.5028,0.7347,0.3425,
2,"[0, 1]",w2v_self,spectral,0.5015,0.5027,0.0084,
2,"[0, 1]",w2v_self,dbscan,0.5015,0.5031,0.0091,
2,"[0, 2]",w2v_self,kmeans,0.5836,0.6455,0.5251,
2,"[0, 2]",w2v_self,hac,0.5836,0.6452,0.5214,
2,"[0, 2]",w2v_self,spectral,0.587,0.5025,0.1532,
2,"[0, 2]",w2v_self,dbscan,0.5871,0.5031,0.1545,
2,"[1, 2]",w2v_self,kmeans,0.5065,0.5889,0.2197,
2,"[1, 2]",w2v_self,hac,0.5084,0.5834,0.1594,
2,"[1, 2]",w2v_self,spectral,0.5064,0.5872,0.2176,
2,"[1, 2]",w2v_self,hdbscan,0.507,0.503,0.0198,
3,"[0, 1, 2]",w2v_self,kmeans,0.391,0.3963,0.3057,
3,"[0, 1, 2]",w2v_self,hac,0.3763,0.4732,0.2375,
3,"[0, 1, 2]",w2v_self,spectral,0.3052,0.4883,0.2295,
2,"[0, 1]",w2v_pretrained,kmeans,0.5025,0.7131,0.3402,
2,"[0, 1]",w2v_pretrained,hac,0.5014,0.6071,0.3936,
2,"[0, 1]",w2v_pretrained,spectral,0.5015,0.5024,0.0078,
2,"[0, 2]",w2v_pretrained,kmeans,0.5778,0.6348,0.5112,
2,"[0, 2]",w2v_pretrained,hac,0.5651,0.6135,0.5184,
