k,class_subset,embedding,clustering,precision,recall,f1,alpha
3,"[0, 2, 9]",sbert,kmeans,0.6163,0.6198,0.5766,
3,"[0, 2, 9]",sbert,hac,0.655,0.6187,0.5579,
3,"[0, 2, 9]",sbert,spectral,0.6603,0.6382,0.5807,
3,"[0, 2, 9]",sbert,dbscan,0.758,0.4058,0.2734,
3,"[0, 2, 9]",sbert,hdbscan,0.5443,0.5641,0.521,
3,"[0, 3, 4]",sbert,kmeans,0.6392,0.707,0.5877,
3,"[0, 3, 4]",sbert,hac,0.5619,0.5904,0.5479,
3,"[0, 3, 4]",sbert,spectral,0.5013,0.5412,0.4924,
3,"[0, 3, 5]",sbert,kmeans,0.5593,0.6301,0.5682,
3,"[0, 3, 5]",sbert,hac,0.5808,0.7237,0.5825,
3,"[0, 3, 5]",sbert,spectral,0.5743,0.7254,0.5914,
3,"[0, 3, 6]",sbert,kmeans,0.7057,0.6954,0.691,
3,"[0, 3, 6]",sbert,hac,0.3304,0.4079,0.3632,
3,"[0, 3, 6]",sbert,spectral,0.5551,0.5599,0.544,
3,"[0, 3, 7]",sbert,kmeans,0.3333,0.2035,0.2527,
3,"[0, 3, 7]",sbert,hac,0.4071,0.236,0.2963,
3,"[0, 3, 7]",sbert,spectral,0.4074,0.3035,0.3409,
3,"[0, 3, 8]",sbert,kmeans,0.4185,0.2868,0.3248,
3,"[0, 3, 8]",sbert,hac,0.2402,0.186,0.2087,
3,"[0, 3, 8]",sbert,spectral,0.4647,0.3421,0.3925,
3,"[0, 3, 9]",sbert,kmeans,0.6867,0.6456,0.6401,
3,"[0, 3, 9]",sbert,hac,0.7069,0.6263,0.6289,
3,"[0, 3, 9]",sbert,spectral,0.639,0.6108,0.6089,
3,"[0, 3, 9]",sbert,hdbscan,0.3695,0.3621,0.2504,
3,"[0, 4, 5]",sbert,kmeans,0.3778,0.3667,0.3417,
3,"[0, 4, 5]",sbert,hac,0.4333,0.3667,0.3556,
3,"[0, 4, 5]",sbert,spectral,0.5476,0.5944,0.5344,
3,"[0, 4, 6]",sbert,kmeans,0.5397,0.373,0.4286,
3,"[0, 4, 6]",sbert,hac,0.4974,0.473,0.4849,
3,"[0, 4, 6]",sbert,spectral,0.5873,0.4095,0.4602,
3,"[0, 4, 7]",sbert,kmeans,0.3686,0.5333,0.4067,
3,"[0, 4, 7]",sbert,hac,0.5397,0.7333,0.5686,
3,"[0, 4, 7]",sbert,spectral,0.5635,0.7333,0.6004,
3,"[0, 4, 8]",sbert,kmeans,0.3917,0.3167,0.3,
