embedding,clustering,k,alpha,mean,std
gte,hdbscan,3,0.5,0.27865,0.06586861923556621
gte,hdbscan,3,0.75,0.27865,0.06586861923556621
gte,hdbscan,4,0.25,0.2003,0.03634528855298854
gte,hdbscan,4,0.5,0.2003,0.03634528855298854
gte,hdbscan,4,0.75,0.1729,0.09857068529740474
gte,kmeans,2,0.25,0.78255,0.12160846324714959
gte,kmeans,2,0.5,0.78255,0.12160846324714959
gte,kmeans,2,0.75,0.78255,0.12160846324714959
gte,kmeans,3,0.25,0.66674,0.11745906331805797
gte,kmeans,3,0.5,0.66674,0.11745906331805797
gte,kmeans,3,0.75,0.66822,0.11514823103769813
gte,kmeans,4,0.25,0.59002,0.09299049413784186
gte,kmeans,4,0.5,0.5926600000000001,0.09121188519047284
gte,kmeans,4,0.75,0.59402,0.08986107054781842
gte,kmeans,5,0.25,0.5376,
gte,kmeans,5,0.5,0.5376,
gte,kmeans,5,0.75,0.5376,
gte,spectral,2,0.25,0.59209,0.21806297994437807
gte,spectral,2,0.5,0.59209,0.21806297994437807
gte,spectral,2,0.75,0.6167,0.192741905724267
gte,spectral,3,0.25,0.51742,0.1275044034097995
gte,spectral,3,0.5,0.51742,0.1275044034097995
gte,spectral,3,0.75,0.52537,0.12334915258908123
gte,spectral,4,0.25,0.40127999999999997,0.09003097800201884
gte,spectral,4,0.5,0.4122199999999999,0.0725339713513606
gte,spectral,4,0.75,0.41244,0.07286654239086689
gte,spectral,5,0.25,0.357,
gte,spectral,5,0.5,0.357,
gte,spectral,5,0.75,0.3637,
instructor,dbscan,2,0.25,0.28140000000000004,0.027013885318480188
instructor,dbscan,2,0.5,0.28140000000000004,0.027013885318480188
instructor,dbscan,2,0.75,0.28140000000000004,0.027013885318480188
instructor,dbscan,3,0.25,0.17443333333333333,0.006468642309892663
instructor,dbscan,3,0.5,0.17443333333333333,0.006468642309892663
instructor,dbscan,3,0.75,0.17443333333333333,0.006468642309892663
instructor,hac,2,0.25,0.71987,0.12059472118537269
instructor,hac,2,0.5,0.71987,0.12059472118537269
instructor,hac,2,0.75,0.72486,0.10723865596571663
instructor,hac,3,0.25,0.57431,0.13006518408517748
instructor,hac,3,0.5,0.58525,0.10398518323940834
instructor,hac,3,0.75,0.58525,0.10398518323940834
instructor,hac,4,0.25,0.46096000000000004,0.07183653666484764
instructor,hac,4,0.5,0.46096000000000004,0.07183653666484764
instructor,hac,4,0.75,0.49729999999999996,0.0690113396479158
instructor,hac,5,0.25,0.317,
instructor,hac,5,0.5,0.4403,
instructor,hac,5,0.75,0.4403,
instructor,hdbscan,2,0.25,0.4361625,0.08302314543891617
instructor,hdbscan,2,0.5,0.4361625,0.08302314543891617
instructor,hdbscan,2,0.75,0.4361625,0.08302314543891617
instructor,hdbscan,3,0.25,0.24844999999999998,0.0535297207166262
instructor,hdbscan,3,0.5,0.24844999999999998,0.0535297207166262
instructor,hdbscan,3,0.75,0.24844999999999998,0.0535297207166262
instructor,hdbscan,4,0.25,0.18989999999999999,0.018000833314044097
instructor,hdbscan,4,0.5,0.18989999999999999,0.018000833314044097
instructor,hdbscan,4,0.75,0.18989999999999999,0.018000833314044097
instructor,kmeans,2,0.25,0.7686900000000001,0.13124750537311808
instructor,kmeans,2,0.5,0.7743300000000001,0.11558763918920277
instructor,kmeans,2,0.75,0.7743300000000001,0.11558763918920277
instructor,kmeans,3,0.25,0.65884,0.10789634120045238
instructor,kmeans,3,0.5,0.65737,0.11016372714182184
instructor,kmeans,3,0.75,0.65737,0.11016372714182184
instructor,kmeans,4,0.25,0.58878,0.08054977963967373
instructor,kmeans,4,0.5,0.58878,0.08054977963967373
instructor,kmeans,4,0.75,0.58878,0.08054977963967373
instructor,kmeans,5,0.25,0.5385,
instructor,kmeans,5,0.5,0.5385,
instructor,kmeans,5,0.75,0.5385,
instructor,spectral,2,0.25,0.69001,0.15660022314444155
instructor,spectral,2,0.5,0.69001,0.15660022314444155
instructor,spectral,2,0.75,0.69001,0.15660022314444155
instructor,spectral,3,0.25,0.42984999999999995,0.13950586009196891
instructor,spectral,3,0.5,0.42984999999999995,0.13950586009196891
instructor,spectral,3,0.75,0.43007999999999996,0.13959300205319114
instructor,spectral,4,0.25,0.32258,0.06256378345336862
instructor,spectral,4,0.5,0.32602000000000003,0.057214744603117804
instructor,spectral,4,0.75,0.33496000000000004,0.07491780829682619
instructor,spectral,5,0.25,0.265,
instructor,spectral,5,0.5,0.2733,
instructor,spectral,5,0.75,0.2733,
minilm,dbscan,2,0.25,0.312675,0.06250868606308513
minilm,dbscan,2,0.5,0.312675,0.06250868606308513
minilm,dbscan,2,0.75,0.312675,0.06250868606308513
minilm,dbscan,3,0.25,0.16365,0.016218107164524476
minilm,dbscan,3,0.5,0.16365,0.016218107164524476
minilm,dbscan,3,0.75,0.16365,0.016218107164524476
minilm,dbscan,4,0.25,0.10776666666666668,0.003523256069793019
minilm,dbscan,4,0.5,0.10776666666666668,0.003523256069793019
minilm,dbscan,4,0.75,0.10776666666666668,0.003523256069793019
minilm,hac,2,0.25,0.72997,0.11515277822672508
minilm,hac,2,0.5,0.72997,0.11515277822672508
minilm,hac,2,0.75,0.72997,0.11515277822672508
minilm,hac,3,0.25,0.57643,0.10219344456035874
minilm,hac,3,0.5,0.5748,0.10525717711079532
minilm,hac,3,0.75,0.57747,0.10097228497629109
minilm,hac,4,0.25,0.48134,0.1269399385536325
minilm,hac,4,0.5,0.47678000000000004,0.1350828338464958
minilm,hac,4,0.75,0.47678000000000004,0.1350828338464958
minilm,hac,5,0.25,0.3399,
minilm,hac,5,0.5,0.3399,
minilm,hac,5,0.75,0.4009,
minilm,hdbscan,2,0.25,0.47274000000000005,0.12232385249365266
minilm,hdbscan,2,0.5,0.47274000000000005,0.12232385249365266
minilm,hdbscan,2,0.75,0.47274000000000005,0.12232385249365266
minilm,hdbscan,3,0.25,0.2722428571428571,0.06207930028447103
minilm,hdbscan,3,0.5,0.2722428571428571,0.06207930028447103
minilm,hdbscan,3,0.75,0.2722428571428571,0.06207930028447103
minilm,hdbscan,4,0.25,0.117,
minilm,hdbscan,4,0.5,0.117,
minilm,hdbscan,4,0.75,0.1131,
minilm,kmeans,2,0.25,0.7707499999999999,0.11712368818191021
minilm,kmeans,2,0.5,0.7707499999999999,0.11712368818191021
minilm,kmeans,2,0.75,0.7707499999999999,0.11712368818191021
minilm,kmeans,3,0.25,0.65483,0.12335251247272318
minilm,kmeans,3,0.5,0.65357,0.1259247486927543
minilm,kmeans,3,0.75,0.6554599999999999,0.1224097599594629
minilm,kmeans,4,0.25,0.57334,0.10011559818529778
minilm,kmeans,4,0.5,0.57334,0.10011559818529778
minilm,kmeans,4,0.75,0.57274,0.10048528748030727
minilm,kmeans,5,0.25,0.4824,
minilm,kmeans,5,0.5,0.5038,
minilm,kmeans,5,0.75,0.5038,
minilm,spectral,2,0.25,0.72131,0.1434476400797324
minilm,spectral,2,0.5,0.72131,0.1434476400797324
minilm,spectral,2,0.75,0.72131,0.1434476400797324
minilm,spectral,3,0.25,0.52669,0.1454075074479383
minilm,spectral,3,0.5,0.52676,0.14538050610572092
minilm,spectral,3,0.75,0.53566,0.1309959219042927
minilm,spectral,4,0.25,0.41581999999999997,0.10054445285544102
minilm,spectral,4,0.5,0.41912000000000005,0.09440747851732932
minilm,spectral,4,0.75,0.4181,0.09401311078780449
minilm,spectral,5,0.25,0.2771,
minilm,spectral,5,0.5,0.3168,
minilm,spectral,5,0.75,0.3168,
mpnet,dbscan,2,0.25,0.33012857142857144,0.061284519912881606
mpnet,dbscan,2,0.5,0.33012857142857144,0.061284519912881606
mpnet,dbscan,2,0.75,0.33012857142857144,0.061284519912881606
mpnet,dbscan,3,0.25,0.1459,
mpnet,dbscan,3,0.5,0.1459,
mpnet,dbscan,3,0.75,0.1459,
mpnet,dbscan,4,0.25,0.0967,
mpnet,dbscan,4,0.5,0.0967,
mpnet,dbscan,4,0.75,0.0967,
mpnet,hac,2,0.25,0.7147,0.11037655749498826
mpnet,hac,2,0.5,0.7147,0.11037655749498826
mpnet,hac,2,0.75,0.7147,0.11037655749498826
mpnet,hac,3,0.25,0.6031799999999999,0.09378764192460418
mpnet,hac,3,0.5,0.6031799999999999,0.09378764192460418
mpnet,hac,3,0.75,0.60475,0.09223560712773682
mpnet,hac,4,0.25,0.53312,0.06480024691310986
mpnet,hac,4,0.5,0.53454,0.0637645120737233
mpnet,hac,4,0.75,0.53492,0.063250826081562
mpnet,hac,5,0.25,0.4617,
mpnet,hac,5,0.5,0.4617,
mpnet,hac,5,0.75,0.452,
mpnet,hdbscan,2,0.25,0.47462222222222217,0.11036115459909092
mpnet,hdbscan,2,0.5,0.47462222222222217,0.11036115459909092
mpnet,hdbscan,2,0.75,0.47462222222222217,0.11036115459909092
mpnet,hdbscan,3,0.25,0.2828777777777778,0.06760961059231478
