embedding,clustering,k,alpha,mean,std
bge,hac,9,0.5,0.21301863636363635,0.06216879047840268
bge,hac,9,0.75,0.21789454545454545,0.06229819193981904
bge,hac,10,0.25,0.18375757575757576,0.05484434494543782
bge,hac,10,0.5,0.20374848484848485,0.05267323723434816
bge,hac,10,0.75,0.20896969696969697,0.052263153573480645
bge,hac,11,0.25,0.1734416666666667,0.03992528154015456
bge,hac,11,0.5,0.1904,0.03541863916075828
bge,hac,11,0.75,0.19735,0.04026526813746332
bge,hac,12,0.25,0.1539,
bge,hac,12,0.5,0.1662,
bge,hac,12,0.75,0.1662,
bge,hdbscan,2,0.25,0.526131914893617,0.15459227455018987
bge,hdbscan,2,0.5,0.5334893617021276,0.1468841960807199
bge,hdbscan,2,0.75,0.5334893617021276,0.1468841960807199
bge,hdbscan,3,0.25,0.39028214285714286,0.16920520973848738
bge,hdbscan,3,0.5,0.3900214285714286,0.16764477514948276
bge,hdbscan,3,0.75,0.3900214285714286,0.16764477514948276
bge,hdbscan,4,0.25,0.1940635135135135,0.0820045246376115
bge,hdbscan,4,0.5,0.20137702702702703,0.07567118997651513
bge,hdbscan,4,0.75,0.20154459459459462,0.07536629308814476
bge,hdbscan,5,0.25,0.20247884615384615,0.09416568280562923
bge,hdbscan,5,0.5,0.20743846153846152,0.08522861563510768
bge,hdbscan,5,0.75,0.20414230769230768,0.08512848500517331
bge,hdbscan,6,0.25,0.15690459770114942,0.06270231238650886
bge,hdbscan,6,0.5,0.15946436781609197,0.05360366825570604
bge,hdbscan,6,0.75,0.1602137931034483,0.05283108486931083
bge,hdbscan,7,0.25,0.13032365591397851,0.05413249726737219
bge,hdbscan,7,0.5,0.1357741935483871,0.04442177027780755
bge,hdbscan,7,0.75,0.1372215053763441,0.04311947469194412
bge,hdbscan,8,0.25,0.14097142857142858,0.05058203433831223
bge,hdbscan,8,0.5,0.14091428571428571,0.04253993340457803
bge,hdbscan,8,0.75,0.1432142857142857,0.041608594843315305
bge,hdbscan,9,0.25,0.1847,
bge,hdbscan,9,0.5,0.1919,
bge,hdbscan,9,0.75,0.1919,
bge,kmeans,2,0.25,0.6505318181818182,0.22939535516663795
bge,kmeans,2,0.5,0.6732060606060607,0.19866868273878877
bge,kmeans,2,0.75,0.674930303030303,0.19476629780305102
bge,kmeans,3,0.25,0.4568945454545455,0.18717525781753805
bge,kmeans,3,0.5,0.4748118181818182,0.17602457628940998
bge,kmeans,3,0.75,0.48363409090909093,0.16991923779053356
bge,kmeans,4,0.25,0.35965979797979797,0.14904704165963664
bge,kmeans,4,0.5,0.3873480808080808,0.1389845185191848
bge,kmeans,4,0.75,0.39316262626262627,0.1375585444639195
bge,kmeans,5,0.25,0.3191290404040404,0.11776294232125901
bge,kmeans,5,0.5,0.3313125,0.11840371533708652
bge,kmeans,5,0.75,0.3364761363636364,0.11808605017202678
bge,kmeans,6,0.25,0.2819585497835498,0.09993305290167999
bge,kmeans,6,0.5,0.29306580086580086,0.10205869956759893
bge,kmeans,6,0.75,0.2984561688311688,0.10261271304512257
bge,kmeans,7,0.25,0.2516227272727273,0.08290203204051387
bge,kmeans,7,0.5,0.2615585858585859,0.08607502417731501
bge,kmeans,7,0.75,0.26803737373737374,0.08583748642359774
bge,kmeans,8,0.25,0.23073656565656567,0.0711135943113109
bge,kmeans,8,0.5,0.24014828282828285,0.07307245857716119
bge,kmeans,8,0.75,0.24697131313131312,0.07205023484617942
bge,kmeans,9,0.25,0.20802272727272728,0.06237306548875158
bge,kmeans,9,0.5,0.21823772727272725,0.06011394343847662
bge,kmeans,9,0.75,0.22158227272727274,0.059578594761166
bge,kmeans,10,0.25,0.18835151515151516,0.04489449252644983
bge,kmeans,10,0.5,0.19751969696969698,0.047483017918788506
bge,kmeans,10,0.75,0.2022121212121212,0.0464557142801334
bge,kmeans,11,0.25,0.17965833333333334,0.039707761053461424
bge,kmeans,11,0.5,0.18353333333333333,0.0395342965798129
bge,kmeans,11,0.75,0.18889166666666668,0.04420138743880276
bge,kmeans,12,0.25,0.1583,
bge,kmeans,12,0.5,0.1784,
bge,kmeans,12,0.75,0.165,
bge,spectral,2,0.25,0.6935742424242424,0.24568416642924434
bge,spectral,2,0.5,0.7202409090909091,0.203688906066446
bge,spectral,2,0.75,0.7243590909090909,0.19801996012622464
bge,spectral,3,0.25,0.49006727272727274,0.23460001736525754
bge,spectral,3,0.5,0.5171677272727273,0.2016477617562247
bge,spectral,3,0.75,0.5227504545454545,0.19412675859246956
bge,spectral,4,0.25,0.36312444444444447,0.1985330040900013
bge,spectral,4,0.5,0.3896131313131313,0.1769554390752447
bge,spectral,4,0.75,0.40159676767676766,0.1618091165291995
bge,spectral,5,0.25,0.2843045454545454,0.17172107835969605
bge,spectral,5,0.5,0.30733282828282826,0.1600062851422952
bge,spectral,5,0.75,0.32252613636363636,0.14643047568237968
bge,spectral,6,0.25,0.23345898268398269,0.14426143437125277
bge,spectral,6,0.5,0.25075887445887446,0.14055413402214265
bge,spectral,6,0.75,0.2677972943722944,0.12637612446809407
bge,spectral,7,0.25,0.19642007575757575,0.12349950455069575
bge,spectral,7,0.5,0.2104040404040404,0.12281869994310789
bge,spectral,7,0.75,0.2289760101010101,0.1101304507724705
bge,spectral,8,0.25,0.1733476767676768,0.10636813237371727
bge,spectral,8,0.5,0.18174727272727273,0.10747057683976399
bge,spectral,8,0.75,0.19440666666666667,0.10249293397190876
bge,spectral,9,0.25,0.18364954545454545,0.07081422573185768
bge,spectral,9,0.5,0.19089272727272727,0.06852785482929685
bge,spectral,9,0.75,0.20596,0.06238409848905598
bge,spectral,10,0.25,0.1830757575757576,0.05132827099429128
bge,spectral,10,0.5,0.2000969696969697,0.04386776622707058
bge,spectral,10,0.75,0.21459242424242425,0.03742454690381315
bge,spectral,11,0.25,0.17301666666666668,0.03190308714994474
bge,spectral,11,0.5,0.20735833333333334,0.023464032759381612
bge,spectral,11,0.75,0.21730000000000002,0.023646102888598402
bge,spectral,12,0.25,0.1721,
bge,spectral,12,0.5,0.1762,
bge,spectral,12,0.75,0.2001,
e5,dbscan,2,0.25,0.36808620689655175,0.18270467333951404
e5,dbscan,2,0.5,0.36808620689655175,0.18270467333951404
